Tip_label	f
Neivamyrmex_nigrescens	0.08
Neivamyrmex_opacithorax	0.08
Neivamyrmex_pilosus	0.08
Neivamyrmex_postcarinatus	0.08
Neivamyrmex_pseudops	0.08
Neivamyrmex_romandii	0.08
Neivamyrmex_swainsonii	0.08
Neocerapachys_splendens	0.5
Nomamyrmex_esenbeckii	1
Nomamyrmex_hartigii	1
Ooceraea_australis	0.27
Ooceraea_biroi	0.27
Ooceraea_fragosa	0.27
Parasyscia_desposyne	0.06
Parasyscia_dohertyi	0.06
Parasyscia_sylvicola	0.06
Simopone_conradti	0.26
Simopone_dignita	0.26
Simopone_dryas	0.26
Simopone_elegans	0.26
Simopone_fulvinodis	0.26
Simopone_latiscapa	0.26
Simopone_marleyi	0.26
Simopone_nonnihil	0.26
Simopone_oculata	0.26
Simopone_trita	0.26
Sphinctomyrmex_stali	0.33
Syscia_augustae	0.4
Syscia_typhla	0.4
Tanipone_aglandula	0.4
Tanipone_hirsuta	0.4
Tanipone_scelesta	0.4
Tanipone_zona	0.4
Vicinopone_conciliatrix	1
Yunodorylus_paradoxus	0.5
Yunodorylus_sexspinus	0.5
Zasphinctus_steinheili	0.05
Ectatomma_brunneum	0.67
Ectatomma_edentatum	0.67
Ectatomma_gibbum	0.67
Ectatomma_lugens	0.67
Ectatomma_opaciventre	0.67
Ectatomma_parasiticum	0.67
Ectatomma_permagnum	0.67
Ectatomma_ruidum	0.67
Ectatomma_tuberculatum	0.67
Ectatomma_vizottoi	0.67
Gnamptogenys_striatula	0.01
Rhytidoponera_chalybaea	0.02
Rhytidoponera_metallica	0.02
Typhlomyrmex_rogenhoferi	0.14
Calomyrmex_albertisi	0.09
Calomyrmex_laevissimus	0.09
Camponotus_aeneopilosus	0.09
Camponotus_afflatus	0.09
Camponotus_albicoxis	0.09
Camponotus_americanus	0.09
Camponotus_aurocinctus	0.09
Camponotus_aurosus	0.09
Camponotus_castaneus	0.09
Camponotus_christi	0.09
Camponotus_claripes	0.09
Camponotus_clarithorax	0.09
Camponotus_claviscapus	0.09
Camponotus_compressus	0.09
Camponotus_concolor	0.09
Camponotus_consobrinus	0.09
Camponotus_crozieri	0.09
Camponotus_darwinii	0.09
Camponotus_densopilus	0.09
Camponotus_dimorphus	0.09
Camponotus_discors	0.09
Camponotus_dromas	0.09
Camponotus_dufouri	0.09
Camponotus_echinoploides	0.09
Camponotus_edmondi	0.09
Camponotus_ellioti	0.09
Camponotus_eperiamorum	0.09
Camponotus_ethicus	0.09
Camponotus_fellah	0.09
Camponotus_fieldeae	0.09
Camponotus_gibbinotus	0.09
Camponotus_gouldi	0.09
Camponotus_gouldianus	0.09
Camponotus_grandidieri	0.09
Camponotus_hagensii	0.09
Camponotus_hartogi	0.09
Camponotus_herculeanus	0.09
Camponotus_heteroclitus	0.09
Camponotus_hildebrandti	0.09
Camponotus_hova	0.09
Camponotus_humilior	0.09
Camponotus_hyatti	0.09
Camponotus_imitator	0.09
Camponotus_inflatus	0.09
Camponotus_integellus	0.09
Camponotus_intrepidus	0.09
Camponotus_janeti	0.09
Camponotus_johnclarki	0.09
Camponotus_laevigatus	0.09
Camponotus_latangulus	0.09
Camponotus_loweryi	0.09
Camponotus_mackayensis	0.09
Camponotus_maculatus	0.09
Camponotus_maritimus	0.09
Camponotus_mocquerysi	0.09
Camponotus_modoc	0.09
Camponotus_mussolinii	0.09
Camponotus_nasicus	0.09
Camponotus_nearcticus	0.09
Camponotus_nigriceps	0.09
Camponotus_nossibeensis	0.09
Camponotus_novaehollandiae	0.09
Camponotus_novogranadensis	0.09
Camponotus_ocreatus	0.09
Camponotus_parius	0.09
Camponotus_pawseyi	0.09
Camponotus_pennsylvanicus	0.09
Camponotus_perjurus	0.09
Camponotus_planatus	0.09
Camponotus_posteropilus	0.09
Camponotus_prosseri	0.09
Camponotus_prostans	0.09
Camponotus_quadrimaculatus	0.09
Camponotus_quercicola	0.09
Camponotus_rectangularis	0.09
Camponotus_renggeri	0.09
Camponotus_repens	0.09
Camponotus_robustus	0.09
Camponotus_roeseli	0.09
Camponotus_rufipes	0.09
Camponotus_rufus	0.09
Camponotus_sanctaefidei	0.09
Camponotus_scotti	0.09
Camponotus_semitestaceus	0.09
Camponotus_sericeus	0.09
Camponotus_setosus	0.09
Camponotus_suffusus	0.09
Camponotus_terebrans	0.09
Camponotus_thadeus	0.09
Camponotus_tortuganus	0.09
Camponotus_tricoloratus	0.09
Camponotus_vicinus	0.09
Camponotus_voeltzkowii	0.09
Camponotus_whitei	0.09
Camponotus_wiederkehri	0.09
Colobopsis_anderseni	0.07
Colobopsis_conithorax	0.07
Colobopsis_gasseri	0.07
Colobopsis_papago	0.07
Colobopsis_saundersi	0.07
Colobopsis_vitiensis	0.07
Colobopsis_vitrea	0.09
Dinomyrmex_gigas	1
Echinopla_australis	0.09
Opisthopsis_haddoni	0.15
Opisthopsis_respiciens	0.15
Polyrhachis_abbreviata	0.12
Polyrhachis_abdominalis	0.12
Polyrhachis_ammon	0.12
Polyrhachis_anderseni	0.12
Polyrhachis_andromache	0.12
Polyrhachis_argentosa	0.12
Polyrhachis_armata	0.12
Polyrhachis_aurea	0.12
Polyrhachis_australis	0.12
Polyrhachis_beccarii	0.12
Polyrhachis_bicolor	0.12
Polyrhachis_bihamata	0.12
Polyrhachis_boltoni	0.12
Polyrhachis_brevinoda	0.12
Polyrhachis_calypso	0.12
Polyrhachis_campbelli	0.12
Polyrhachis_carbonaria	0.12
Polyrhachis_cephalotes	0.12
Polyrhachis_cleopatra	0.12
Polyrhachis_clio	0.12
Polyrhachis_cupreata	0.12
Polyrhachis_cyaniventris	0.12
Polyrhachis_cyphonota	0.12
Polyrhachis_cyrus	0.12
Polyrhachis_danum	0.12
Polyrhachis_debilis	0.12
Polyrhachis_decemdentata	0.12
Polyrhachis_delicata	0.12
Polyrhachis_dives	0.12
Polyrhachis_equina	0.12
Polyrhachis_flavibasis	0.12
Polyrhachis_foreli	0.12
Polyrhachis_furcata	0.12
Polyrhachis_gab	0.12
Polyrhachis_gagates	0.12
Polyrhachis_hexacantha	0.12
Polyrhachis_hookeri	0.12
Polyrhachis_illaudata	0.12
Polyrhachis_inermis	0.12
Polyrhachis_kaipi	0.12
Polyrhachis_lacteipennis	0.12
Polyrhachis_laevissima	0.12
Polyrhachis_lamellidens	0.12
Polyrhachis_lata	0.12
Polyrhachis_latharis	0.12
Polyrhachis_lepida	0.12
Polyrhachis_loweryi	0.12
Polyrhachis_mackayi	0.12
Polyrhachis_macropus	0.12
Polyrhachis_mindanaensis	0.12
Polyrhachis_monteithi	0.12
Polyrhachis_mucronata	0.12
Polyrhachis_nigropilosa	0.12
Polyrhachis_noesaensis	0.12
Polyrhachis_obesior	0.12
Polyrhachis_olybria	0.12
Polyrhachis_ornata	0.12
Polyrhachis_proxima	0.12
Polyrhachis_rastellata	0.12
Polyrhachis_revoili	0.12
Polyrhachis_robsoni	0.12
Polyrhachis_rufifemur	0.12
Polyrhachis_saevissima	0.12
Polyrhachis_schistacea	0.12
Polyrhachis_schlueteri	0.12
Polyrhachis_schoopae	0.12
Polyrhachis_semipolita	0.12
Polyrhachis_senilis	0.12
Polyrhachis_sexspinosa	0.12
Polyrhachis_shixingensis	0.12
Polyrhachis_sokolova	0.12
Polyrhachis_thais	0.12
Polyrhachis_thrinax	0.12
Polyrhachis_thusnelda	0.12
Polyrhachis_tibialis	0.12
Polyrhachis_trapezoidea	0.12
Polyrhachis_tubifex	0.12
Polyrhachis_turneri	0.12
Polyrhachis_villipes	0.12
Polyrhachis_vindex	0.12
Polyrhachis_viscosa	0.12
Polyrhachis_ypsilon	0.12
Bajcaridris_theryi	0.33
Cataglyphis_aenescens	0.04
Cataglyphis_cursor	0.04
Cataglyphis_iberica	0.04
Formica_aquilonia	0.09
Formica_aserva	0.09
Formica_beijingensis	0.09
Formica_candida	0.09
Formica_clara	0.09
Formica_densiventris	0.09
Formica_exsectoides	0.09
Formica_fukaii	0.09
Formica_fusca	0.09
Formica_gagatoides	0.09
Formica_glacialis	0.09
Formica_japonica	0.09
Formica_lasioides	0.09
Formica_moki	0.09
Formica_neogagates	0.09
Formica_obscuripes	0.09
Formica_rufa	0.09
Formica_sanguinea	0.09
Formica_sinensis	0.09
Formica_subaenescens	0.09
Formica_subintegra	0.09
Formica_subsericea	0.09
Formica_uralensis	0.09
Formica_wheeleri	0.09
Iberoformica_subrufa	0.5
Polyergus_breviceps	0.07
Proformica_mongolica	0.08
Proformica_nasuta	0.08
Rossomyrmex_anatolicus	0.04
Gesomyrmex_CASENT0106178	0.17
Gigantiops_destructor	1
Euprenolepis_procera	0.25
Euprenolepis_wittei	0.25
Lasius_alienus	0.12
Lasius_brunneus	0.12
Lasius_californicus	0.12
Lasius_cinereus	0.12
Lasius_claviger	0.12
Lasius_emarginatus	0.12
Lasius_grandis	0.12
Lasius_lasioides	0.12
Lasius_latipes	0.12
Lasius_neoniger	0.12
Lasius_niger	0.12
Lasius_platythorax	0.12
Lasius_psammophilus	0.12
Lasius_subumbratus	0.12
Myrmecocystus_arenarius	0.73
Myrmecocystus_creightoni	0.73
Myrmecocystus_depilis	0.73
Myrmecocystus_flaviceps	0.73
Myrmecocystus_kathjuli	0.73
Myrmecocystus_kennedyi	0.73
Myrmecocystus_koso	0.73
Myrmecocystus_lugubris	0.73
Myrmecocystus_melliger	0.73
Myrmecocystus_mendax	0.73
Myrmecocystus_mexicanus	0.73
Myrmecocystus_mimicus	0.73
Myrmecocystus_navajo	0.73
Myrmecocystus_nequazcatl	0.73
Myrmecocystus_perimeces	0.73
Myrmecocystus_placodops	0.73
Myrmecocystus_romainei	0.73
Myrmecocystus_semirufus	0.73
Myrmecocystus_tenuinodis	0.73
Myrmecocystus_testaceus	0.73
Myrmecocystus_wheeleri	0.73
Myrmecocystus_yuma	0.73
Nylanderia_amblyops	0.22
Nylanderia_arenivaga	0.22
Nylanderia_bourbonica	0.22
Nylanderia_concinna	0.22
Nylanderia_dodo	0.22
Nylanderia_faisonensis	0.22
Nylanderia_fulva	0.22
Nylanderia_glabrior	0.22
Nylanderia_helleri	0.22
Nylanderia_hystrix	0.22
Nylanderia_madagascarensis	0.22
Nylanderia_microps	0.22
Nylanderia_nuggeti	0.22
Nylanderia_obscura	0.22
Nylanderia_parvula	0.22
Nylanderia_phantasma	0.22
Nylanderia_pubens	0.22
Nylanderia_steinheili	0.22
Nylanderia_terricola	0.22
Nylanderia_vaga	0.22
Nylanderia_vitiensis	0.22
Nylanderia_vividula	0.22
Nylanderia_wojciki	0.22
Paraparatrechina_concinnata	0.22
Paraparatrechina_glabra	0.22
Paraparatrechina_lecamopteridis	0.22
Paraparatrechina_minutula	0.22
Paraparatrechina_oceanica	0.22
Paraparatrechina_opaca	0.22
Paraparatrechina_pallida	0.22
Paraparatrechina_weissi	0.22
