generation,N_shifts,logPrior,logLik,eventRate,acceptRate
610000,35,-18.2702,-6934.31,40.5507,0.414125
615000,39,-2.86533,-6934.12,49.9403,0.414
620000,42,-3.05028,-6921.22,49.421,0.458
625000,41,-5.38015,-6942.53,44.2708,0.42
630000,35,-10.3818,-6955.17,36.3781,0.446
635000,41,-3.07495,-6942.5,33.4461,0.422
640000,40,-4.26365,-6932.03,36.4728,0.45
645000,37,0.101624,-6934.36,35.1552,0.415
650000,38,0.62867,-6940.72,48.9431,0.437448
655000,41,-2.67571,-6947.46,41.6076,0.446
660000,40,-9.57173,-6955.67,35.6568,0.444364
665000,38,-4.76111,-6908.91,35.4013,0.431
670000,41,-0.580475,-6949.22,40.2368,0.42
675000,41,-3.2558,-6922.46,43.0508,0.436
680000,37,5.00125,-6964.47,35.0903,0.434
685000,40,-2.49361,-6949.94,36.8103,0.4368
690000,37,-0.522417,-6933.94,29.8582,0.397
695000,36,1.58,-6975.31,33.7672,0.4
700000,33,-1.68457,-6967.44,39.1932,0.4135
705000,39,0.715048,-6928.8,45.5908,0.42025
710000,41,-5.391,-6947.95,32.0833,0.440167
715000,37,8.33239,-6963.53,38.5931,0.461
720000,47,2.06752,-6932.04,44.265,0.454
725000,40,-0.369388,-6951.33,50.4677,0.467
730000,33,-1.367,-6962.98,34.4477,0.431667
735000,34,0.103993,-6953.99,36.4089,0.475
740000,42,-0.213709,-6956.12,45.4771,0.4475
745000,35,-4.26135,-6946.24,31.6054,0.382
750000,35,-2.20206,-6956.02,37.4054,0.418
755000,35,-0.482056,-6931.01,31.0783,0.437
760000,41,5.35508,-6934.81,40.3784,0.422
765000,43,5.95522,-6943.56,40.4618,0.4396
770000,39,5.56769,-6944.97,39.0686,0.446667
775000,38,-0.217287,-6944.04,41.4487,0.464
780000,32,-2.26901,-6948.76,26.5403,0.392
785000,34,-2.21448,-6960.4,27.0772,0.433214
790000,29,1.04844,-6948.99,30.0655,0.43275
795000,35,-5.75575,-6945.9,34.9487,0.439895
800000,45,-5.15546,-6916.33,38.7744,0.453
805000,33,-0.0181709,-6959.91,39.7967,0.417
810000,32,1.14748,-6943.41,33.0422,0.434
815000,35,1.31233,-6949.46,35.9494,0.451
820000,34,6.56316,-6952.52,29.8857,0.441294
825000,37,2.06342,-6945.18,42.4202,0.442
830000,34,4.45273,-6950.74,38.491,0.432
835000,36,-3.72389,-6937.69,37.5117,0.405
840000,36,-2.78325,-6972.38,35.9048,0.4145
845000,36,4.21731,-6952.16,42.8273,0.431
850000,34,3.27718,-6967.46,40.4466,0.424889
855000,36,-1.13328,-6951.01,28.1762,0.43
860000,30,-10.7323,-6983.4,29.3314,0.387
865000,34,-1.79361,-6961.54,32.8585,0.388
870000,35,1.63931,-6952.86,28.9017,0.418438
875000,34,-1.87669,-6955.49,32.8207,0.433
880000,31,-2.13068,-6948.7,24.5747,0.433
885000,31,-7.77916,-6962.05,26.5338,0.424
890000,40,5.43102,-6955.1,43.4339,0.437
895000,39,-13.7537,-6979.83,50.2074,0.442
900000,35,-4.62334,-6969.25,37.4128,0.431
905000,42,2.76577,-6934.67,42.9801,0.452
910000,33,1.19041,-6951.05,34.9046,0.378
915000,47,2.57706,-6924.6,41.4526,0.449429
920000,43,12.2088,-6934.11,37.9121,0.446333
925000,41,5.10543,-6949.98,54.309,0.441
930000,41,3.76708,-6922.47,44.9334,0.475
935000,37,-5.58318,-6978.69,31.3243,0.432276
940000,39,-2.09184,-6935.74,50.0179,0.473
945000,36,-1.64923,-6941.15,37.5886,0.447
950000,42,0.247335,-6952.02,63.2932,0.416
955000,46,5.10247,-6939.11,43.857,0.465
960000,46,3.66573,-6951.39,47.1861,0.465
965000,42,-3.77978,-6947.45,51.7625,0.405
970000,40,0.357389,-6971.36,44.9201,0.445471
975000,41,4.67485,-6952,43.5318,0.448
980000,33,3.77809,-6946.75,40.5087,0.419
985000,41,-10.1548,-6933.27,36.1509,0.436154
990000,39,-1.94055,-6962.41,51.1459,0.449
995000,45,-2.68645,-6941.41,41.9813,0.435
1000000,37,3.42486,-6976.47,38.9862,0.447667
1005000,39,9.88266,-6938.87,38.6039,0.426
1010000,32,3.13611,-6956.62,29.0293,0.46
1015000,36,7.76135,-6952.61,29.7695,0.4475
1020000,46,2.76586,-6928.62,59.1222,0.491
1025000,37,10.7154,-6950.72,47.6691,0.48
1030000,44,-7.81691,-6941.7,47.3556,0.44
1035000,27,7.75655,-6979.46,28.2207,0.444882
1040000,45,3.45253,-6916.39,54.8285,0.459
1045000,35,-2.10314,-6939.93,25.348,0.44
1050000,34,0.0165448,-6951.12,28.4309,0.432
1055000,41,0.27857,-6936.44,39.925,0.439833
1060000,37,2.25489,-6947.17,26.0361,0.439
1065000,39,4.01428,-6919.04,50.8286,0.419
1070000,41,-3.08623,-6930.07,42.2363,0.437583
1075000,37,3.70937,-6935.55,42.8226,0.422333
1080000,44,-3.31328,-6950.92,49.7759,0.438
1085000,32,-2.32595,-6942.61,35.2756,0.429
1090000,36,2.03802,-6947.97,47.4626,0.433333
1095000,35,1.088,-6941.13,33.8819,0.43
1100000,39,4.35585,-6946.66,46.3652,0.405
1105000,39,7.9958,-6936.37,30.9215,0.445667
1110000,35,-2.63716,-6932.46,40.371,0.406
1115000,35,-1.28286,-6948.05,39.7993,0.407
1120000,36,1.63049,-6925.4,39.2434,0.437
1125000,46,6.22188,-6920.45,40.0761,0.464
1130000,39,8.55482,-6923.81,35.7799,0.464
1135000,40,2.4526,-6945.18,37.619,0.454
1140000,41,-0.0771929,-6922.24,51.286,0.444
1145000,43,11.6854,-6915.65,39.286,0.447
1150000,37,4.85936,-6924.66,48.586,0.44475
1155000,42,-2.05757,-6936.26,37.8372,0.419
1160000,43,-16.8316,-6940.83,32.6538,0.433
1165000,36,-0.654821,-6938.7,32.1468,0.419
1170000,36,2.94792,-6913.74,26.0136,0.442
1175000,31,1.22536,-6947.12,29.8622,0.413
1180000,35,2.18141,-6937.76,37.5681,0.416
1185000,47,-2.26673,-6948.27,35.7407,0.42616
1190000,41,-0.544369,-6935.89,54.3398,0.441824
1195000,39,1.11918,-6928.09,36.3961,0.434
1200000,45,0.451587,-6914.09,43.2096,0.433
1205000,39,5.66676,-6907.05,23.8927,0.423
1210000,43,4.40456,-6904.33,52.33,0.411
1215000,38,3.17372,-6931.1,38.961,0.42375
1220000,44,8.71324,-6919.58,43.9329,0.472
1225000,39,11.7305,-6905.91,38.0748,0.413
1230000,36,6.3107,-6955.53,37.877,0.433
1235000,38,4.79103,-6909.66,40.6619,0.415778
1240000,44,11.2674,-6921,42.0074,0.47
1245000,41,8.18605,-6909.83,37.9671,0.434
1250000,40,-3.12083,-6934.5,33.0381,0.458
1255000,42,3.95196,-6938.89,45.7505,0.44175
1260000,39,8.423,-6908.59,37.8648,0.4415
1265000,44,11.6293,-6931.01,45.7142,0.4522
1270000,38,2.23236,-6924.93,29.4244,0.433333
1275000,44,14.6769,-6936.37,42.0711,0.448
1280000,38,7.10318,-6922.54,44.214,0.421
1285000,46,4.92081,-6926.67,44.0818,0.483
1290000,43,7.25297,-6915.46,50.2799,0.446
1295000,39,8.30836,-6925.08,34.1115,0.448
1300000,43,8.10207,-6933.78,51.6106,0.461
1305000,47,8.47385,-6931.66,50.8252,0.4504
1310000,36,0.348164,-6934.98,39.311,0.451478
1315000,43,10.448,-6941.66,45.2679,0.443667
1320000,44,7.08338,-6932.57,48.2693,0.433333
1325000,37,-4.51989,-6928.57,35.4767,0.418
1330000,37,-0.0958686,-6931.7,37.4049,0.3946
1335000,37,4.84383,-6944.61,38.9627,0.4495
1340000,40,12.2068,-6931.72,34.9346,0.453333
1345000,44,9.4474,-6936.64,48.0971,0.475
1350000,32,7.02934,-6967.42,34.9635,0.44
1355000,36,2.34812,-6952.89,37.9512,0.441
1360000,39,10.3566,-6945.21,46.9252,0.42875
1365000,36,9.06957,-6929.71,36.2764,0.421
1370000,33,2.95332,-6956.62,31.397,0.402
1375000,34,7.16479,-6940.61,33.544,0.398
1380000,35,7.45445,-6964.23,29.9544,0.419333
1385000,35,1.14427,-6949.46,52.8867,0.412
1390000,30,-5.00488,-6947.51,31.5502,0.395
1395000,34,-4.40623,-6946.17,24.1404,0.398625
1400000,30,2.26845,-6952.36,40.1136,0.396
1405000,29,0.802945,-6979.19,20.8576,0.3655
1410000,33,4.65477,-6946.5,28.9692,0.414
1415000,31,-2.26314,-6963.97,29.4144,0.411
1420000,31,-3.39805,-6965.63,26.1044,0.40775
1425000,33,3.65908,-6965.15,33.9995,0.428
1430000,41,10.7082,-6928.13,34.9473,0.453
1435000,36,11.4069,-6963.14,29.9508,0.425
1440000,41,0.0854487,-6976.96,32.1202,0.476
1445000,42,13.1866,-6971.21,52.3633,0.4561
1450000,35,3.45055,-6937.52,28.7665,0.464
1455000,38,9.23886,-6928.22,34.9391,0.456571
1460000,38,7.88879,-6925.79,40.5204,0.4248
1465000,43,7.9477,-6934.35,32.7636,0.46
1470000,41,11.7828,-6955.46,50.5108,0.456
1475000,36,3.16106,-6941.12,34.7036,0.471
1480000,41,1.43945,-6943.46,39.999,0.441
